UserId,Weather,Season,Event,Clothing,Rating
1,Humid,Summer,Party,Button-down shirt,2.5
1,Cloudy,Fall,Gym,Sweatshirt,3.3
1,Humid,Spring,Business,Button-down shirt,3.5
1,Windy,Spring,Home,Long-sleeve shirt,3.9
1,Sunny,Summer,Beach,T-shirt,3.2
1,Rainy,Spring,Travel,Track pants,3.4
1,Windy,Winter,Casual,Hoodie,4.4
1,Humid,Spring,Casual,Cargo pants,3.1
1,Snowy,Winter,Date,Blazer,3.2
1,Sunny,Summer,Casual,Henley,4
2,Cloudy,Fall,Business,Blazer,2.7
2,Cloudy,Spring,Casual,Button-down shirt,3.1
2,Sunny,Summer,Travel,Windbreaker,3.3
2,Windy,Spring,Date,Blazer,3.7
2,Humid,Summer,Gym,Joggers,3.3
2,Snowy,Winter,Casual,Long-sleeve shirt,3.6
2,Humid,Spring,Beach,Windbreaker,2.9
2,Humid,Winter,Home,Long-sleeve shirt,2.1
2,Rainy,Spring,Casual,Cardigan,4
2,Rainy,Fall,Casual,Button-down shirt,3.1
3,Snowy,Fall,Casual,Windbreaker,3.2
3,Cloudy,Spring,Hiking,Hoodie,4.5
3,Humid,Summer,Travel,Long-sleeve shirt,2.9
3,Rainy,Spring,Hiking,Cargo pants,4
3,Rainy,Summer,Gym,Joggers,2.8
3,Humid,Winter,Home,Cargo pants,2.8
3,Cloudy,Winter,Home,Tank top,2.3
3,Sunny,Summer,Hiking,Coat,1.6
3,Sunny,Spring,Casual,Hoodie,3.3
3,Windy,Spring,Casual,Coat,3.8
4,Snowy,Winter,Casual,Jeans,4.8
4,Humid,Fall,Home,Joggers,2.7
4,Rainy,Spring,Gym,Sweatshirt,4
4,Windy,Spring,Casual,Blazer,3.6
4,Snowy,Fall,Hiking,Jeans,3.7
4,Rainy,Fall,Gym,Track pants,3.2
4,Sunny,Spring,Travel,Button-down shirt,3.2
4,Rainy,Fall,Date,Chinos,3.7
4,Snowy,Winter,Casual,Jeans,4.2
4,Snowy,Winter,Gym,Track pants,3.4
5,Windy,Winter,Home,T-shirt,3
5,Sunny,Summer,Casual,Cargo pants,4.1
5,Humid,Summer,Casual,Coat,1.2
5,Snowy,Winter,Date,Henley,3.2
5,Humid,Fall,Date,Blazer,3.9
5,Rainy,Spring,Casual,Track pants,3.9
5,Humid,Fall,Date,Cardigan,4.2
5,Windy,Fall,Home,Hoodie,3.3
5,Rainy,Summer,Hiking,Cargo pants,4.4
5,Windy,Spring,Casual,T-shirt,2.9
6,Snowy,Spring,Home,T-shirt,1.2
6,Cloudy,Summer,Date,Cardigan,3.4
6,Rainy,Winter,Casual,Long-sleeve shirt,3.1
6,Snowy,Winter,Travel,Long-sleeve shirt,4.5
6,Windy,Spring,Beach,Polo,2.7
6,Snowy,Winter,Casual,Cargo pants,2.7
6,Windy,Winter,Party,Chinos,4.4
6,Windy,Fall,Hiking,Hoodie,4.4
6,Snowy,Winter,Hiking,Windbreaker,3.7
6,Windy,Winter,Home,Joggers,2.7
7,Rainy,Fall,Home,Long-sleeve shirt,3.5
7,Windy,Summer,Casual,Cargo pants,3.3
7,Rainy,Spring,Gym,T-shirt,2.1
7,Humid,Fall,Home,Tank top,3.8
7,Sunny,Spring,Travel,Coat,1.1
7,Rainy,Summer,Business,Blazer,3
7,Rainy,Spring,Hiking,Cargo pants,2.8
7,Windy,Winter,Casual,Shorts,2.4
7,Snowy,Winter,Date,Chinos,2.8
7,Sunny,Summer,Travel,Chinos,3.5
8,Snowy,Winter,Gym,Joggers,4.2
8,Sunny,Summer,Business,Button-down shirt,3.1
8,Humid,Summer,Business,Coat,2.2
8,Sunny,Summer,Gym,Sweatshirt,1.8
8,Windy,Spring,Gym,Joggers,2.7
8,Rainy,Winter,Business,Blazer,2.7
8,Sunny,Spring,Home,Joggers,3.6
8,Windy,Winter,Business,Button-down shirt,2.6
8,Windy,Fall,Beach,T-shirt,3.5
8,Rainy,Spring,Date,Henley,3.1
9,Snowy,Winter,Gym,Hoodie,4.8
9,Sunny,Summer,Home,Henley,3.6
9,Snowy,Fall,Casual,Blazer,3.4
9,Snowy,Winter,Casual,Cardigan,3.6
9,Humid,Spring,Travel,Cargo pants,3.5
9,Snowy,Winter,Sleep,Polo,2.4
9,Rainy,Fall,Home,Tank top,1.9
9,Windy,Summer,Gym,Tank top,2.6
9,Sunny,Winter,Beach,Tank top,4.4
9,Windy,Fall,Sleep,Track pants,3.2
10,Windy,Fall,Travel,Long-sleeve shirt,4.3
10,Sunny,Spring,Hiking,Long-sleeve shirt,3.4
10,Rainy,Fall,Casual,Jeans,3.2
10,Windy,Spring,Hiking,Sweatshirt,4.4
10,Sunny,Summer,Business,Long-sleeve shirt,2.8
10,Windy,Winter,Travel,Track pants,3.5
10,Cloudy,Fall,Hiking,Hoodie,4.5
10,Cloudy,Spring,Home,Sweatshirt,3.4
10,Rainy,Fall,Home,Cardigan,3.2
10,Sunny,Fall,Gym,T-shirt,3.9
11,Windy,Winter,Travel,Button-down shirt,2.6
11,Rainy,Winter,Casual,Track pants,2.9
11,Cloudy,Fall,Hiking,Long-sleeve shirt,4.8
11,Cloudy,Summer,Travel,Cardigan,3.2
11,Windy,Winter,Business,Cardigan,3.4
11,Humid,Summer,Home,Track pants,2.5
11,Windy,Summer,Travel,Cardigan,3.9
11,Sunny,Spring,Hiking,Polo,3.9
11,Sunny,Spring,Hiking,Cargo pants,3.2
11,Cloudy,Fall,Gym,Hoodie,4.6
12,Rainy,Fall,Party,Blazer,2.8
12,Cloudy,Fall,Gym,Tank top,2.1
12,Snowy,Winter,Business,Blazer,2.1
12,Cloudy,Spring,Date,Polo,4
12,Cloudy,Winter,Home,Henley,4.1
12,Windy,Winter,Casual,Chinos,3.8
12,Sunny,Summer,Hiking,Long-sleeve shirt,3.9
12,Humid,Summer,Business,Polo,3.8
12,Cloudy,Spring,Travel,Cargo pants,3.2
12,Rainy,Spring,Gym,Tank top,1.5
13,Sunny,Summer,Hiking,Windbreaker,2.3
13,Rainy,Winter,Party,Button-down shirt,3
13,Windy,Winter,Casual,Chinos,4.5
13,Humid,Spring,Party,Polo,4.4
13,Rainy,Spring,Home,Henley,4
13,Rainy,Fall,Travel,Chinos,2.5
13,Humid,Spring,Casual,Coat,2.2
13,Snowy,Winter,Home,Sweatshirt,3.9
13,Humid,Summer,Casual,Button-down shirt,3.1
13,Sunny,Summer,Home,Shorts,3.8
14,Snowy,Winter,Hiking,Windbreaker,3.5
14,Rainy,Spring,Gym,Sweatshirt,2.5
14,Rainy,Summer,Casual,Jeans,3.5
14,Sunny,Summer,Business,Blazer,2.5
14,Windy,Winter,Casual,Jeans,4
14,Windy,Fall,Travel,Coat,4.9
14,Sunny,Summer,Date,Blazer,2.3
14,Cloudy,Spring,Casual,Tank top,2.2
14,Snowy,Fall,Hiking,Windbreaker,4.1
14,Cloudy,Fall,Business,Chinos,3.9
15,Windy,Spring,Casual,Button-down shirt,3.1
15,Windy,Spring,Hiking,Hoodie,3.5
15,Humid,Spring,Date,Chinos,2.5
15,Windy,Summer,Gym,Hoodie,3.7
15,Sunny,Summer,Business,Coat,1.9
15,Humid,Winter,Travel,Button-down shirt,3.6
15,Cloudy,Winter,Gym,Track pants,3.5
15,Snowy,Spring,Casual,Coat,4.4
15,Cloudy,Fall,Hiking,Cargo pants,3.2
15,Snowy,Winter,Casual,Jeans,4.4
16,Rainy,Winter,Date,Cardigan,3.1
16,Sunny,Fall,Casual,Cardigan,2.4
16,Snowy,Winter,Travel,Coat,4.5
16,Snowy,Fall,Casual,Hoodie,4.3
16,Humid,Winter,Date,Henley,3.5
16,Cloudy,Spring,Home,Track pants,4
16,Windy,Summer,Date,Coat,3.6
16,Rainy,Spring,Casual,Cardigan,2.8
16,Rainy,Spring,Travel,Polo,2.5
16,Rainy,Fall,Beach,Shorts,1.9
17,Sunny,Winter,Home,Joggers,2.8
17,Humid,Summer,Casual,Hoodie,2.9
17,Snowy,Winter,Hiking,Shorts,1.4
17,Rainy,Fall,Home,T-shirt,3.8
17,Sunny,Fall,Casual,Chinos,3.3
17,Humid,Fall,Gym,Track pants,3.2
17,Windy,Fall,Casual,Sweatshirt,4.9
17,Sunny,Spring,Home,Joggers,2.3
17,Snowy,Fall,Gym,Track pants,4.5
17,Windy,Summer,Hiking,Coat,4.9
18,Snowy,Winter,Gym,Track pants,3.6
18,Windy,Fall,Travel,Joggers,3.8
18,Humid,Summer,Casual,Shorts,3.7
18,Rainy,Fall,Business,Blazer,3.1
18,Windy,Winter,Home,Shorts,2.9
18,Cloudy,Spring,Gym,Joggers,3.1
18,Cloudy,Winter,Gym,Sweatshirt,3.4
18,Cloudy,Fall,Travel,Cargo pants,3.1
18,Rainy,Fall,Hiking,Sweatshirt,3.3
18,Rainy,Winter,Hiking,Hoodie,3.1
19,Snowy,Winter,Date,Coat,4.5
19,Snowy,Winter,Casual,Tank top,1.2
19,Snowy,Fall,Party,Jeans,4.8
19,Windy,Winter,Home,T-shirt,3.3
19,Windy,Winter,Travel,Jeans,3.7
19,Cloudy,Spring,Business,Cardigan,4.1
19,Snowy,Winter,Hiking,Cargo pants,3.6
19,Windy,Spring,Gym,Sweatshirt,4.2
19,Cloudy,Summer,Date,Chinos,3.7
19,Snowy,Winter,Travel,Coat,4.7
20,Snowy,Winter,Casual,Henley,3.8
20,Rainy,Summer,Travel,Cargo pants,2.6
20,Snowy,Winter,Travel,T-shirt,1.2
20,Snowy,Spring,Travel,Polo,3.7
20,Rainy,Fall,Gym,Tank top,1.4
20,Cloudy,Spring,Travel,Hoodie,4.2
20,Cloudy,Winter,Hiking,Jeans,3.6
20,Snowy,Winter,Business,Blazer,3.3
20,Snowy,Winter,Gym,T-shirt,2.5
20,Sunny,Winter,Travel,Windbreaker,2.3
21,Sunny,Summer,Home,Tank top,4.6
21,Rainy,Fall,Casual,Hoodie,4.7
21,Windy,Winter,Hiking,Polo,2.9
21,Snowy,Winter,Business,Button-down shirt,3.3
21,Rainy,Winter,Home,Joggers,3.4
21,Cloudy,Spring,Party,Henley,3.9
21,Humid,Spring,Business,Button-down shirt,3.7
21,Rainy,Winter,Travel,Cardigan,2.7
21,Sunny,Summer,Date,Cardigan,2.9
21,Snowy,Winter,Casual,Jeans,4.9
22,Rainy,Spring,Travel,Long-sleeve shirt,3.9
22,Humid,Fall,Travel,Sweatshirt,1.7
22,Cloudy,Fall,Business,Button-down shirt,4.2
22,Windy,Fall,Gym,Tank top,2
22,Snowy,Winter,Casual,Windbreaker,3.1
22,Humid,Fall,Casual,Coat,1
22,Snowy,Fall,Beach,Shorts,1.1
22,Cloudy,Fall,Casual,Joggers,4.1
22,Snowy,Fall,Casual,Henley,3.6
22,Humid,Fall,Business,Blazer,3.2
23,Windy,Winter,Gym,Shorts,2.7
23,Humid,Spring,Business,Blazer,2.6
23,Rainy,Winter,Business,Long-sleeve shirt,3.4
23,Snowy,Winter,Travel,Sweatshirt,4.6
23,Windy,Winter,Hiking,Jeans,3.5
23,Snowy,Winter,Casual,Coat,4.2
23,Rainy,Spring,Travel,Windbreaker,4.8
23,Cloudy,Fall,Date,Blazer,3.8
23,Humid,Winter,Business,Blazer,3.1
23,Windy,Fall,Casual,Hoodie,3.2
24,Humid,Summer,Business,Chinos,3.5
24,Rainy,Spring,Beach,Shorts,2
24,Snowy,Winter,Casual,Joggers,4.1
24,Sunny,Summer,Travel,Cardigan,2.3
24,Humid,Summer,Home,Sweatshirt,2
24,Windy,Winter,Hiking,Windbreaker,4.5
24,Windy,Winter,Hiking,Windbreaker,4.4
24,Humid,Winter,Casual,Cargo pants,3
