userID,itemID,prediction
1,Coat,0.3712861
1,Joggers,-0.31138545
1,Cargo pants,-1.5423306
1,Polo,-1.636089
1,Jeans,-2.7379777
1,Cardigan,-3.5617828
1,Tank top,-3.5959074
1,Chinos,-3.657693
1,Shorts,-3.9403718
1,Windbreaker,-4.031358
2,Polo,0.28417474
2,Track pants,0.2648923
2,Henley,0.2392622
2,Shorts,0.06833491
2,Chinos,-0.4187387
2,T-shirt,-0.6428534
2,Coat,-0.9976852
2,Cargo pants,-1.4547795
2,Sweatshirt,-1.7797712
2,Tank top,-1.8226786
3,Shorts,1.7066473
3,Chinos,1.5384694
3,Track pants,1.408605
3,Cardigan,1.3760571
3,Blazer,1.085891
3,Button-down shirt,0.7709418
3,T-shirt,-0.61858505
3,Jeans,-0.68355185
3,Polo,-0.6938982
3,Henley,-0.9292173
4,Cardigan,-0.35670528
4,Coat,-1.5781094
4,Shorts,-1.674765
4,Long-sleeve shirt,-1.6838702
4,Tank top,-1.8459164
4,Henley,-1.8626959
4,Hoodie,-1.9716233
4,T-shirt,-2.151552
4,Cargo pants,-2.1812832
4,Windbreaker,-2.2958882
5,Long-sleeve shirt,1.3189168
5,Track pants,0.75258994
5,Shorts,0.38312244
5,Joggers,0.2832862
5,Jeans,0.030001279
5,Sweatshirt,-0.6283268
5,Henley,-0.8250007
5,Tank top,-0.84497595
5,Polo,-0.9137721
5,Windbreaker,-1.4702656
6,Tank top,0.20644481
6,Track pants,-0.052281596
6,Button-down shirt,-0.7616399
6,Shorts,-0.9142982
6,T-shirt,-1.0696605
6,Coat,-1.120387
6,Sweatshirt,-1.1450326
6,Jeans,-1.3542157
6,Blazer,-1.5121232
6,Henley,-3.5357237
7,Hoodie,0.38093978
7,Polo,0.15835923
7,Henley,0.1486805
7,Track pants,-0.021366807
7,Cardigan,-0.11913027
7,Jeans,-0.22043788
7,Joggers,-0.23230302
7,Sweatshirt,-0.49407613
7,Button-down shirt,-0.7550459
7,Windbreaker,-1.3447114
8,Long-sleeve shirt,0.47700328
8,Hoodie,-0.6132029
8,Shorts,-0.9242629
8,Jeans,-1.0591162
8,Track pants,-1.096047
8,Windbreaker,-1.7279594
8,Polo,-2.7423518
8,Chinos,-2.7445595
8,Cardigan,-3.2294927
8,Tank top,-3.3832517
9,Long-sleeve shirt,-0.08154618
9,Hoodie,-0.10318208
9,Windbreaker,-0.2232227
9,Shorts,-0.8985048
9,Jeans,-1.4380896
9,Button-down shirt,-1.5040095
9,Joggers,-1.5368094
9,Chinos,-1.685362
9,Coat,-1.9145831
9,T-shirt,-2.5184083
10,Coat,0.9112616
10,Joggers,0.35574737
10,Cargo pants,-0.524546
10,Polo,-0.7907852
10,Blazer,-1.0811982
10,Jeans,-1.4553517
10,Windbreaker,-1.7479502
10,Shorts,-1.9966576
10,Chinos,-2.1378725
10,Button-down shirt,-2.6492965
11,Joggers,1.6185832
11,Coat,1.4327925
11,Polo,0.81374484
11,Chinos,0.08566037
11,Tank top,-0.2218427
11,Shorts,-0.5732015
11,T-shirt,-1.028688
11,Henley,-1.2046673
11,Sweatshirt,-1.4744338
11,Jeans,-2.3050697
12,Jeans,0.10580841
12,Coat,0.0043384396
12,Windbreaker,-0.4454065
12,Cargo pants,-0.5445097
12,Button-down shirt,-0.68344766
12,Shorts,-0.76558363
12,Track pants,-1.7838652
12,T-shirt,-1.8007522
12,Joggers,-2.1852856
12,Cardigan,-2.2341816
13,Long-sleeve shirt,0.17228585
13,Jeans,-0.010520932
13,Tank top,-0.4969681
13,Cargo pants,-1.0187371
13,Sweatshirt,-1.3543538
13,Joggers,-1.5487717
13,Cardigan,-1.5619112
13,Blazer,-1.7474982
13,Track pants,-2.689976
13,T-shirt,-2.7512465
14,Shorts,0.8211316
14,Cardigan,0.43639767
14,Henley,0.2529951
14,Polo,-0.0079046935
14,Long-sleeve shirt,-1.3728888
