UserId,Weather,Season,Event,Clothing,Material,Rating
1,Humid,Summer,Party,Button-down shirt,Cotton,2.5
1,Cloudy,Fall,Gym,Sweatshirt,Polyester,3.3
1,Humid,Spring,Business,Button-down shirt,Linen,3.5
1,Windy,Spring,Home,Long-sleeve shirt,Cotton,3.9
1,Sunny,Summer,Beach,T-shirt,Cotton,3.2
1,Rainy,Spring,Travel,Track pants,Polyester,3.4
1,Windy,Winter,Casual,Hoodie,Cotton,4.4
1,Humid,Spring,Casual,Cargo pants,Polyester,3.1
1,Snowy,Winter,Date,Blazer,Polyester,3.2
1,Sunny,Summer,Casual,Henley,Cotton,4
2,Cloudy,Fall,Business,Blazer,Wool,2.7
2,Cloudy,Spring,Casual,Button-down shirt,Silk,3.1
2,Sunny,Summer,Travel,Windbreaker,Polyester,3.3
2,Windy,Spring,Date,Blazer,Wool,3.7
2,Humid,Summer,Gym,Joggers,Cotton,3.3
2,Snowy,Winter,Casual,Long-sleeve shirt,Cotton,3.6
2,Humid,Spring,Beach,Windbreaker,Polyester,2.9
2,Humid,Winter,Home,Long-sleeve shirt,Cotton,2.1
2,Rainy,Spring,Casual,Cardigan,Wool,4
2,Rainy,Fall,Casual,Button-down shirt,Cotton,3.1
3,Snowy,Fall,Casual,Windbreaker,Polyester,3.2
3,Cloudy,Spring,Hiking,Hoodie,Cotton,4.5
3,Humid,Summer,Travel,Long-sleeve shirt,Cotton,2.9
3,Rainy,Spring,Hiking,Cargo pants,Cotton,4
3,Rainy,Summer,Gym,Joggers,Cotton,2.8
3,Humid,Winter,Home,Cargo pants,Polyester,2.8
3,Cloudy,Winter,Home,Tank top,Cotton,2.3
3,Sunny,Summer,Hiking,Coat,Wool,1.6
3,Sunny,Spring,Casual,Hoodie,Fleece,3.3
3,Windy,Spring,Casual,Coat,Wool,3.8
4,Snowy,Winter,Casual,Jeans,Denim,4.8
4,Humid,Fall,Home,Joggers,Cotton,2.7
4,Rainy,Spring,Gym,Sweatshirt,Cotton,4
4,Windy,Spring,Casual,Blazer,Cotton,3.6
4,Snowy,Fall,Hiking,Jeans,Cotton,3.7
4,Rainy,Fall,Gym,Track pants,Cotton,3.2
4,Sunny,Spring,Travel,Button-down shirt,Cotton,3.2
4,Rainy,Fall,Date,Chinos,Cotton,3.7
4,Snowy,Winter,Casual,Jeans,Denim,4.2
4,Snowy,Winter,Gym,Track pants,Polyester,3.4
5,Windy,Winter,Home,T-shirt,Cotton,3
5,Sunny,Summer,Casual,Cargo pants,Cotton,4.1
5,Humid,Summer,Casual,Coat,Wool,1.2
5,Snowy,Winter,Date,Henley,Polyester,3.2
5,Humid,Fall,Date,Blazer,Wool,3.9
5,Rainy,Spring,Casual,Track pants,Polyester,3.9
5,Humid,Fall,Date,Cardigan,Cotton,4.2
5,Windy,Fall,Home,Hoodie,Fleece,3.3
