UserId,Weather,Clothing,Rating
1,Humid,Button-down shirt,2.5
1,Cloudy,Sweatshirt,3.3
1,Humid,Button-down shirt,3.5
1,Windy,Long-sleeve shirt,3.9
1,Sunny,T-shirt,3.2
1,Rainy,Track pants,3.4
1,Windy,Hoodie,4.4
1,Humid,Cargo pants,3.1
1,Snowy,Blazer,3.2
1,Sunny,Henley,4.0
2,Cloudy,Blazer,2.7
2,Cloudy,Button-down shirt,3.1
2,Sunny,Windbreaker,3.3
2,Windy,Blazer,3.7
2,Humid,Joggers,3.3
2,Snowy,Long-sleeve shirt,3.6
2,Humid,Windbreaker,2.9
2,Humid,Long-sleeve shirt,2.1
2,Rainy,Cardigan,4.0
2,Rainy,Button-down shirt,3.1
3,Snowy,Windbreaker,3.2
3,Cloudy,Hoodie,4.5
3,Humid,Long-sleeve shirt,2.9
3,Rainy,Cargo pants,4.0
3,Rainy,Joggers,2.8
3,Humid,Cargo pants,2.8
3,Cloudy,Tank top,2.3
3,Sunny,Coat,1.6
3,Sunny,Hoodie,3.3
3,Windy,Coat,3.8
4,Snowy,Jeans,4.8
4,Humid,Joggers,2.7
4,Rainy,Sweatshirt,4.0
4,Windy,Blazer,3.6
4,Snowy,Jeans,3.7
4,Rainy,Track pants,3.2
4,Sunny,Button-down shirt,3.2
4,Rainy,Chinos,3.7
4,Snowy,Jeans,4.2
4,Snowy,Track pants,3.4
5,Windy,T-shirt,3.0
5,Sunny,Cargo pants,4.1
5,Humid,Coat,1.2
5,Snowy,Henley,3.2
5,Humid,Blazer,3.9
5,Rainy,Track pants,3.9
5,Humid,Cardigan,4.2
5,Windy,Hoodie,3.3
5,Rainy,Cargo pants,4.4
5,Windy,T-shirt,2.9
6,Snowy,T-shirt,1.2
6,Cloudy,Cardigan,3.4
6,Rainy,Long-sleeve shirt,3.1
6,Snowy,Long-sleeve shirt,4.5
6,Windy,Polo,2.7
6,Snowy,Cargo pants,2.7
6,Windy,Chinos,4.4
6,Windy,Hoodie,4.4
6,Snowy,Windbreaker,3.7
6,Windy,Joggers,2.7
7,Rainy,Long-sleeve shirt,3.5
7,Windy,Cargo pants,3.3
7,Rainy,T-shirt,2.1
7,Humid,Tank top,3.8
7,Sunny,Coat,1.1
7,Rainy,Blazer,3.0
7,Rainy,Cargo pants,2.8
7,Windy,Shorts,2.4
7,Snowy,Chinos,2.8
7,Sunny,Chinos,3.5
8,Snowy,Joggers,4.2
8,Sunny,Button-down shirt,3.1
8,Humid,Coat,2.2
8,Sunny,Sweatshirt,1.8
8,Windy,Joggers,2.7
8,Rainy,Blazer,2.7
8,Sunny,Joggers,3.6
8,Windy,Button-down shirt,2.6
8,Windy,T-shirt,3.5
8,Rainy,Henley,3.1
9,Snowy,Hoodie,4.8
9,Sunny,Henley,3.6
9,Snowy,Blazer,3.4
9,Snowy,Cardigan,3.6
9,Humid,Cargo pants,3.5
9,Snowy,Polo,2.4
9,Rainy,Tank top,1.9
9,Windy,Tank top,2.6
9,Sunny,Tank top,4.4
9,Windy,Track pants,3.2
10,Windy,Long-sleeve shirt,4.3
10,Sunny,Long-sleeve shirt,3.4
10,Rainy,Jeans,3.2
10,Windy,Sweatshirt,4.4
10,Sunny,Long-sleeve shirt,2.8
10,Windy,Track pants,3.5
10,Cloudy,Hoodie,4.5
10,Cloudy,Sweatshirt,3.4
10,Rainy,Cardigan,3.2
10,Sunny,T-shirt,3.9
11,Windy,Button-down shirt,2.6
11,Rainy,Track pants,2.9
11,Cloudy,Long-sleeve shirt,4.8
11,Cloudy,Cardigan,3.2
11,Windy,Cardigan,3.4
11,Humid,Track pants,2.5
11,Windy,Cardigan,3.9
11,Sunny,Polo,3.9
11,Sunny,Cargo pants,3.2
11,Cloudy,Hoodie,4.6
12,Rainy,Blazer,2.8
12,Cloudy,Tank top,2.1
12,Snowy,Blazer,2.1
12,Cloudy,Polo,4.0
12,Cloudy,Henley,4.1
12,Windy,Chinos,3.8
12,Sunny,Long-sleeve shirt,3.9
12,Humid,Polo,3.8
12,Cloudy,Cargo pants,3.2
12,Rainy,Tank top,1.5
13,Sunny,Windbreaker,2.3
13,Rainy,Button-down shirt,3.0
13,Windy,Chinos,4.5
13,Humid,Polo,4.4
13,Rainy,Henley,4.0
13,Rainy,Chinos,2.5
13,Humid,Coat,2.2
13,Snowy,Sweatshirt,3.9
13,Humid,Button-down shirt,3.1
13,Sunny,Shorts,3.8
14,Snowy,Windbreaker,3.5
14,Rainy,Sweatshirt,2.5
14,Rainy,Jeans,3.5
14,Sunny,Blazer,2.5
14,Windy,Jeans,4.0
14,Windy,Coat,4.9
14,Sunny,Blazer,2.3
14,Cloudy,Tank top,2.2
14,Snowy,Windbreaker,4.1
14,Cloudy,Chinos,3.9
15,Windy,Button-down shirt,3.1
15,Windy,Hoodie,3.5
15,Humid,Chinos,2.5
15,Windy,Hoodie,3.7
15,Sunny,Coat,1.9
15,Humid,Button-down shirt,3.6
15,Cloudy,Track pants,3.5
15,Snowy,Coat,4.4
15,Cloudy,Cargo pants,3.2
15,Snowy,Jeans,4.4
16,Rainy,Cardigan,3.1
16,Sunny,Cardigan,2.4
16,Snowy,Coat,4.5
16,Snowy,Hoodie,4.3
16,Humid,Henley,3.5
16,Cloudy,Track pants,4.0
16,Windy,Coat,3.6
16,Rainy,Cardigan,2.8
16,Rainy,Polo,2.5
16,Rainy,Shorts,1.9
17,Sunny,Joggers,2.8
17,Humid,Hoodie,2.9
17,Snowy,Shorts,1.4
17,Rainy,T-shirt,3.8
17,Sunny,Chinos,3.3
17,Humid,Track pants,3.2
17,Windy,Sweatshirt,4.9
17,Sunny,Joggers,2.3
17,Snowy,Track pants,4.5
17,Windy,Coat,4.9
18,Snowy,Track pants,3.6
18,Windy,Joggers,3.8
18,Humid,Shorts,3.7
18,Rainy,Blazer,3.1
18,Windy,Shorts,2.9
18,Cloudy,Joggers,3.1
18,Cloudy,Sweatshirt,3.4
18,Cloudy,Cargo pants,3.1
18,Rainy,Sweatshirt,3.3
18,Rainy,Hoodie,3.1
19,Snowy,Coat,4.5
19,Snowy,Tank top,1.2
19,Snowy,Jeans,4.8
19,Windy,T-shirt,3.3
19,Windy,Jeans,3.7
19,Cloudy,Cardigan,4.1
19,Snowy,Cargo pants,3.6
19,Windy,Sweatshirt,4.2
19,Cloudy,Chinos,3.7
19,Snowy,Coat,4.7
20,Snowy,Henley,3.8
20,Rainy,Cargo pants,2.6
20,Snowy,T-shirt,1.2
20,Snowy,Polo,3.7
20,Rainy,Tank top,1.4
20,Cloudy,Hoodie,4.2
20,Cloudy,Jeans,3.6
20,Snowy,Blazer,3.3
20,Snowy,T-shirt,2.5
20,Sunny,Windbreaker,2.3
21,Sunny,Tank top,4.6
21,Rainy,Hoodie,4.7
21,Windy,Polo,2.9
21,Snowy,Button-down shirt,3.3
21,Rainy,Joggers,3.4
21,Cloudy,Henley,3.9
21,Humid,Button-down shirt,3.7
21,Rainy,Cardigan,2.7
21,Sunny,Cardigan,2.9
21,Snowy,Jeans,4.9
22,Rainy,Long-sleeve shirt,3.9
22,Humid,Sweatshirt,1.7
22,Cloudy,Button-down shirt,4.2
22,Windy,Tank top,2.0
22,Snowy,Windbreaker,3.1
22,Humid,Coat,1.0
22,Snowy,Shorts,1.1
22,Cloudy,Joggers,4.1
22,Snowy,Henley,3.6
22,Humid,Blazer,3.2
23,Windy,Shorts,2.7
23,Humid,Blazer,2.6
23,Rainy,Long-sleeve shirt,3.4
23,Snowy,Sweatshirt,4.6
23,Windy,Jeans,3.5
23,Snowy,Coat,4.2
23,Rainy,Windbreaker,4.8
23,Cloudy,Blazer,3.8
23,Humid,Blazer,3.1
23,Windy,Hoodie,3.2
24,Humid,Chinos,3.5
24,Rainy,Shorts,2.0
24,Snowy,Joggers,4.1
24,Sunny,Cardigan,2.3
24,Humid,Sweatshirt,2.0
24,Windy,Windbreaker,4.5
24,Windy,Windbreaker,4.4
24,Humid,Cargo pants,3.0
24,Humid,Joggers,2.9
24,Cloudy,Sweatshirt,3.2
25,Rainy,Coat,3.7
25,Windy,Henley,3.3
25,Humid,Shorts,3.4
25,Windy,Track pants,3.9
25,Sunny,Hoodie,2.1
25,Cloudy,Henley,3.5
25,Humid,Cargo pants,2.7
25,Sunny,Tank top,4.3
25,Humid,Polo,4.0
25,Snowy,Button-down shirt,3.8
26,Windy,Cardigan,3.2
26,Snowy,Coat,4.2
26,Sunny,Blazer,3.4
26,Snowy,Button-down shirt,3.7
26,Snowy,Shorts,1.1
26,Humid,Tank top,3.7
26,Windy,Cardigan,2.6
26,Rainy,Button-down shirt,3.3
26,Snowy,Sweatshirt,4.7
26,Snowy,Joggers,4.3
